
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-15 11:21:36 /api/question-banks/1 ........................ ~ 1.99ms
  2026-04-15 11:21:36 /api/question-banks/1/questions .............. ~ 1.57ms
  2026-04-15 11:21:36 /api/question-banks/1 ........................ ~ 0.72ms
  2026-04-15 11:21:36 /api/question-banks/1/questions .............. ~ 0.89ms
  2026-04-15 11:21:36 /api/question-banks/1 ........................ ~ 0.23ms
  2026-04-15 11:21:36 /api/question-banks/1/questions .............. ~ 0.06ms
  2026-04-15 11:21:37 /api/question-banks/1 ........................ ~ 0.10ms
  2026-04-15 11:21:37 /api/question-banks/1/questions .............. ~ 0.32ms
  2026-04-15 11:21:37 /api/question-banks/1 ........................ ~ 0.44ms
  2026-04-15 11:21:37 /api/question-banks/1/questions .............. ~ 0.34ms
  2026-04-15 11:21:37 /api/question-banks/1 ........................ ~ 0.15ms
  2026-04-15 11:21:37 /api/question-banks/1/questions .............. ~ 0.20ms
  2026-04-15 11:21:37 /api/question-banks/1 ........................ ~ 0.02ms
  2026-04-15 11:21:37 /api/question-banks/1/questions .............. ~ 0.02ms
  2026-04-15 11:21:38 /api/question-banks/1 ........................ ~ 0.47ms
  2026-04-15 11:21:38 /api/question-banks/1/questions .............. ~ 1.38ms
  2026-04-15 11:21:38 /api/question-banks/1 ........................ ~ 1.81ms
  2026-04-15 11:21:38 /api/question-banks/1/questions .............. ~ 2.38ms
  2026-04-15 11:21:38 /api/question-banks/1 ........................ ~ 0.10ms
  2026-04-15 11:21:38 /api/question-banks/1/questions .............. ~ 0.63ms
  2026-04-15 11:21:38 /api/question-banks/1 ........................ ~ 0.05ms
  2026-04-15 11:21:38 /api/question-banks/1/questions .............. ~ 0.06ms
  2026-04-15 11:21:38 /api/question-banks/1 ........................ ~ 0.14ms
  2026-04-15 11:21:38 /api/question-banks/1/questions .............. ~ 0.47ms
  2026-04-15 11:21:38 /api/question-banks/1 ........................ ~ 0.26ms
  2026-04-15 11:21:38 /api/question-banks/1/questions .............. ~ 0.31ms
  2026-04-15 11:21:38 /api/question-banks/1 ........................ ~ 0.23ms
  2026-04-15 11:21:38 /api/question-banks/1/questions .............. ~ 0.29ms
  2026-04-15 11:21:38 /api/question-banks/1 ........................ ~ 0.03ms
  2026-04-15 11:21:38 /api/question-banks/1/questions .............. ~ 0.03ms
  2026-04-15 11:21:39 /api/question-banks/1 ........................ ~ 0.09ms
  2026-04-15 11:21:39 /api/question-banks/1/questions .............. ~ 0.30ms
  2026-04-15 11:21:39 /api/question-banks/1 ........................ ~ 0.46ms
  2026-04-15 11:21:39 /api/question-banks/1/questions .............. ~ 0.67ms
  2026-04-15 11:21:39 /api/question-banks/1 ........................ ~ 0.03ms
  2026-04-15 11:21:39 /api/question-banks/1/questions .............. ~ 0.19ms
  2026-04-15 11:21:39 /api/question-banks/1 ........................ ~ 0.02ms
  2026-04-15 11:21:39 /api/question-banks/1/questions .............. ~ 0.02ms
  2026-04-15 11:21:40 /api/question-banks/1 ........................ ~ 0.30ms
  2026-04-15 11:21:40 /api/question-banks/1/questions .............. ~ 0.75ms
  2026-04-15 11:21:40 /api/question-banks/1 ........................ ~ 1.01ms
  2026-04-15 11:21:40 /api/question-banks/1/questions .............. ~ 1.37ms
  2026-04-15 11:21:40 /api/question-banks/1 ........................ ~ 0.06ms
  2026-04-15 11:21:40 /api/question-banks/1/questions .............. ~ 0.41ms
  2026-04-15 11:21:40 /api/question-banks/1 ........................ ~ 0.04ms
  2026-04-15 11:21:40 /api/question-banks/1/questions .............. ~ 0.04ms
  2026-04-15 11:21:41 /api/question-banks/1 ........................ ~ 0.13ms
  2026-04-15 11:21:41 /api/question-banks/1/questions .............. ~ 0.44ms
  2026-04-15 11:21:41 /api/question-banks/1 ........................ ~ 0.63ms
  2026-04-15 11:21:41 /api/question-banks/1/questions .............. ~ 0.99ms
  2026-04-15 11:21:41 /api/question-banks/1 ........................ ~ 0.04ms
  2026-04-15 11:21:41 /api/question-banks/1/questions .............. ~ 0.32ms
  2026-04-15 11:21:41 /api/question-banks/1 ........................ ~ 0.03ms
  2026-04-15 11:21:41 /api/question-banks/1/questions .............. ~ 0.03ms
  2026-04-15 11:21:46 /api/question-banks/1 ........................ ~ 0.09ms
  2026-04-15 11:21:46 /api/question-banks/1/questions .............. ~ 0.31ms
  2026-04-15 11:21:46 /api/question-banks/1 ........................ ~ 0.02ms
  2026-04-15 11:21:46 /api/question-banks/1/questions .............. ~ 0.02ms
  2026-04-15 11:21:51 /api/question-banks/1 ........................ ~ 0.38ms
  2026-04-15 11:21:51 /api/question-banks/1/questions .............. ~ 1.29ms
  2026-04-15 11:21:51 /api/question-banks/1 ........................ ~ 0.09ms
  2026-04-15 11:21:51 /api/question-banks/1/questions .............. ~ 0.09ms
  2026-04-15 11:23:54 /api/question-banks .......................... ~ 0.42ms
  2026-04-15 11:23:54 /api/question-banks .......................... ~ 1.16ms
